District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
HENRY ,,,,,,,,,,,,,,81,79,86,79,81,82,85,,,,,,,,,,,,,,87.7,,
HICKMAN ,,,,,,,,,,,,,,82,87,89,90,84,90,87,,,,,,,,,,,,,,100,,
HOPKINS ,,,,,,,,,,,,,,84,82,80,79,83,87,85,,,,,,,,,,,,,,89.1,,
JACKSON ,,,,,,,,,,,,,,84,79,81,79,82,80,83,,,,,,,,,,,,,,90.6,,
JACKSON,,,,,,,,,,,,,,82,89,94,100,100,100,93,,,,,,,,,,,,,,81.3,,
JEFFERSON ,,,,,,,,,,,,,,69,75,75,74,73,75,71,,,,,,,,,,,,,,86.8,,
JENKINS,,,,,,,,,,,,,,97,80,89,97,100,95,100,,,,,,,,,,,,,,86.2,,
JESSAMINE ,,,,,,,,,,,,,,72,74,78,78,78,84,86,,,,,,,,,,,,,,93.9,,
JOHNSON ,,,,,,,,,,,,,,84,82,91,92,93,94,91,,,,,,,,,,,,,,93.2,,
KENTON ,,,,,,,,,,,,,,91,90,87,90,90,86,88,,,,,,,,,,,,,,95.6,,
KNOTT ,,,,,,,,,,,,,,72,79,82,83,82,87,86,,,,,,,,,,,,,,91.3,,
KNOX ,,,,,,,,,,,,,,63,69,77,77,81,80,76,,,,,,,,,,,,,,88.1,,
LARUE ,,,,,,,,,,,,,,80,80,82,88,90,95,96,,,,,,,,,,,,,,98.3,,
LAUREL ,,,,,,,,,,,,,,72,75,75,80,84,84,84,,,,,,,,,,,,,,89.1,,
LAWRENCE ,,,,,,,,,,,,,,76,70,82,78,81,80,84,,,,,,,,,,,,,,93.2,,
LEE ,,,,,,,,,,,,,,78,90,77,76,81,82,86,,,,,,,,,,,,,,92.7,,
