AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
392,MAYFIELD,"$26,842 ","$29,526 ","$30,922 ","$30,632 ","$30,734 ","$31,946 ","$32,969 ","$32,921 ","$34,009 ","$35,354 ","$35,621 ","$37,064 ","$37,442 ","$36,167","$39,389","$40,939 ","$42,226 ","$43,227 ","$46,374","$46,971","$47,384 ","$44,487 ","$45,043","$46,512","$46,996","$47,412","$48,598 ","$47,908 ","$48,409","$49,099","$49,176","$52,129","$52,307","$53,392","$55,897","$57,112"
395,MCCRACKEN ,"$28,726 ","$31,564 ","$33,171 ","$33,267 ","$33,184 ","$34,481 ","$34,676 ","$35,427 ","$36,208 ","$37,478 ","$38,702 ","$40,391 ","$41,669 ","$43,165","$44,494","$45,810 ","$47,017 ","$48,056 ","$51,330","$52,186","$52,097 ","$51,104 ","$50,883","$50,450","$49,899","$50,939","$52,108 ","$52,313 ","$53,078","$53,854","$54,735","$56,040","$58,159","$59,597","$59,399","$60,760"
401,MCCREARY ,"$24,587 ","$27,498 ","$30,557 ","$31,646 ","$32,329 ","$32,325 ","$32,889 ","$33,688 ","$33,834 ","$35,690 ","$36,742 ","$37,341 ","$38,358 ","$39,490","$40,250","$42,294 ","$44,543 ","$45,681 ","$48,956","$49,691","$50,689 ","$50,078 ","$49,721","$50,994","$49,772","$50,415","$51,449 ","$50,300 ","$50,883","$51,005","$51,038","$50,831","$50,153","$50,865","$50,802","$52,069"
405,MCLEAN ,"$25,028 ","$27,813 ","$28,983 ","$29,498 ","$30,182 ","$30,996 ","$31,140 ","$31,643 ","$31,630 ","$32,386 ","$33,212 ","$33,600 ","$34,557 ","$36,023","$36,970","$37,517 ","$38,370 ","$38,789 ","$41,531","$41,251","$42,726 ","$42,018 ","$43,361","$43,088","$43,126","$43,349","$43,957 ","$44,082 ","$44,736","$44,534","$45,495","$47,297","$47,879","$50,531","$51,359","$53,633"
411,MEADE ,"$26,724 ","$29,004 ","$30,219 ","$29,852 ","$30,617 ","$31,471 ","$31,878 ","$32,669 ","$33,719 ","$34,181 ","$36,001 ","$37,116 ","$38,729 ","$39,815","$41,277","$41,598 ","$42,725 ","$43,399 ","$47,314","$48,225","$49,187 ","$48,016 ","$48,277","$48,583","$49,102","$50,317","$51,748 ","$52,136 ","$51,974","$51,905","$54,058","$55,966","$55,556","$56,096","$57,235","$60,766"
415,MENIFEE ,"$23,055 ","$25,210 ","$26,735 ","$27,116 ","$27,882 ","$28,965 ","$29,484 ","$30,241 ","$30,677 ","$32,047 ","$32,700 ","$33,753 ","$33,695 ","$35,022","$36,370","$37,492 ","$38,823 ","$40,195 ","$44,461","$44,850","$44,394 ","$45,131 ","$45,936","$46,279","$46,456","$46,541","$46,519 ","$45,644 ","$45,176","$44,697","$44,663","$45,071","$45,361","$47,615","$49,063","$51,467"
421,MERCER ,"$24,298 ","$26,796 ","$28,595 ","$28,696 ","$29,121 ","$29,780 ","$30,362 ","$31,356 ","$31,924 ","$33,058 ","$33,910 ","$34,747 ","$36,230 ","$36,916","$38,867","$40,062 ","$41,130 ","$44,023 ","$47,709","$48,125","$48,320 ","$49,018 ","$48,739","$48,924","$49,367","$50,114","$51,078 ","$51,876 ","$51,969","$52,134","$52,411","$52,693","$52,657","$54,678","$57,293","$61,402"
425,METCALFE ,"$24,712 ","$27,583 ","$29,208 ","$29,048 ","$30,254 ","$29,761 ","$30,246 ","$30,028 ","$30,287 ","$31,135 ","$32,139 ","$32,397 ","$33,551 ","$34,972","$35,900","$37,054 ","$38,248 ","$39,305 ","$43,113","$43,459","$43,303 ","$42,750 ","$42,610","$43,232","$45,980","$46,720","$48,097 ","$48,926 ","$48,994","$49,146","$49,614","$51,325","$51,330","$52,242","$52,358","$56,434"
426,MIDDLESBORO,"$26,429 ","$30,218 ","$33,343 ","$33,550 ","$33,647 ","$34,091 ","$35,464 ","$35,737 ","$35,585 ","$36,437 ","$37,187 ","$37,467 ","$38,185 ","$39,552","$40,573","$41,683 ","$42,275 ","$43,311 ","$47,276","$47,250","$47,920 ","$47,189 ","$47,682","$47,027","$48,737","$48,895","$48,854 ","$47,349 ","$48,268","$48,665","$48,183","$48,736","$48,459","$49,848","$51,671","$54,447"
431,MONROE ,"$25,117 ","$27,437 ","$28,809 ","$29,028 ","$28,815 ","$29,400 ","$29,808 ","$30,517 ","$31,243 ","$32,215 ","$32,971 ","$33,837 ","$35,164 ","$36,563","$37,737","$38,812 ","$39,245 ","$39,826 ","$44,177","$45,234","$45,617 ","$44,592 ","$45,029","$45,264","$44,849","$45,761","$46,153 ","$46,306 ","$46,221","$45,526","$45,991","$46,268","$47,791","$50,137","$52,982","$55,756"
435,MONTGOMERY ,"$25,408 ","$28,718 ","$29,838 ","$30,152 ","$30,665 ","$31,184 ","$31,334 ","$32,242 ","$33,546 ","$34,405 ","$36,060 ","$36,926 ","$37,361 ","$38,401","$39,273","$40,666 ","$41,536 ","$42,488 ","$46,186","$45,678","$46,964 ","$45,736 ","$46,012","$45,643","$45,916","$46,301","$47,567 ","$47,462 ","$48,258","$48,582","$49,807","$51,004","$51,044","$51,386","$52,475","$54,843"
436,MONTICELLO,"$24,225 ","$26,824 ","$28,373 ","$27,718 ","$29,232 ","$29,408 ","$30,653 ","$31,900 ","$32,399 ","$33,866 ","$33,695 ","$34,041 ","$34,752 ","$34,111","$35,978","$37,917 ","$39,401 ","$40,080 ","$43,455","$45,980","$47,335 ","$46,288 ","$45,585","$45,853",,,,,,,,,,,,
441,MORGAN ,"$25,576 ","$27,870 ","$30,031 ","$29,111 ","$29,402 ","$29,874 ","$29,949 ","$31,297 ","$30,928 ","$32,001 ","$32,799 ","$32,965 ","$34,340 ","$34,420","$36,102","$37,655 ","$38,841 ","$40,451 ","$44,268","$44,980","$45,965 ","$45,863 ","$46,802","$47,562","$48,024","$47,936","$49,118 ","$49,610 ","$49,366","$49,548","$50,135","$50,206","$49,573","$51,158","$52,100","$55,293"
445,MUHLENBERG ,"$26,908 ","$29,947 ","$31,438 ","$31,629 ","$32,018 ","$32,807 ","$33,362 ","$34,583 ","$35,178 ","$35,932 ","$36,666 ","$37,367 ","$37,838 ","$39,198","$40,396","$41,703 ","$43,826 ","$44,366 ","$48,134","$48,868","$49,686 ","$48,688 ","$49,233","$49,269","$50,087","$51,158","$47,147 ","$47,514 ","$50,768","$52,199","$53,131","$53,868","$53,923","$54,048","$55,028","$56,863"
446,MURRAY,"$26,380 ","$29,280 ","$31,236 ","$31,317 ","$31,549 ","$32,487 ","$31,973 ","$32,784 ","$33,058 ","$33,315 ","$34,205 ","$34,690 ","$35,812 ","$36,922","$37,428","$38,607 ","$39,293 ","$40,299 ","$44,531","$44,710","$46,480 ","$46,463 ","$46,886","$47,938","$48,544","$48,691","$50,204 ","$50,633 ","$50,626","$51,899","$52,171","$53,403","$53,729","$54,899","$56,446","$58,734"
451,NELSON ,"$25,519 ","$28,338 ","$29,831 ","$30,431 ","$30,954 ","$31,112 ","$32,060 ","$33,231 ","$33,035 ","$33,805 ","$35,327 ","$36,377 ","$37,501 ","$38,778","$40,175","$41,523 ","$43,875 ","$44,497 ","$49,272","$50,057","$50,797 ","$50,221 ","$50,879","$50,808","$50,536","$50,532","$51,073 ","$50,675 ","$51,214","$51,023","$50,462","$50,107","$50,158","$53,280","$55,887","$58,783"
452,NEWPORT,"$26,258 ","$29,097 ","$30,460 ","$30,986 ","$31,946 ","$32,561 ","$33,192 ","$35,017 ","$35,649 ","$36,909 ","$37,828 ","$39,487 ","$40,831 ","$41,167","$43,781","$44,813 ","$46,907 ","$48,307 ","$52,571","$52,893","$52,668 ","$50,367 ","$49,732","$50,332","$48,305","$47,777","$47,872 ","$47,964 ","$48,776","$49,659","$51,805","$52,936","$53,195","$57,021","$59,108","$61,860"
455,NICHOLAS ,"$25,684 ","$27,462 ","$29,101 ","$29,683 ","$30,393 ","$32,072 ","$32,328 ","$32,161 ","$33,502 ","$33,529 ","$34,795 ","$35,215 ","$36,255 ","$37,156","$38,257","$39,136 ","$39,618 ","$40,026 ","$43,160","$42,412","$43,771 ","$42,991 ","$43,057","$43,821","$44,647","$45,652","$46,291 ","$46,404 ","$47,370","$47,724","$46,791","$47,868","$47,480","$50,699","$48,812","$49,115"
461,OHIO ,"$25,072 ","$27,312 ","$29,292 ","$29,388 ","$29,548 ","$30,958 ","$31,509 ","$32,131 ","$32,727 ","$33,420 ","$33,860 ","$34,334 ","$35,910 ","$37,360","$39,396","$40,753 ","$41,851 ","$43,258 ","$46,055","$46,548","$47,036 ","$46,392 ","$46,535","$47,322","$47,929","$47,954","$48,778 ","$49,110 ","$48,790","$49,796","$49,944","$50,935","$50,568","$52,069","$53,805","$57,151"
465,OLDHAM ,"$25,952 ","$28,815 ","$30,330 ","$31,034 ","$31,344 ","$32,389 ","$32,900 ","$33,913 ","$35,123 ","$35,608 ","$36,717 ","$36,788 ","$38,492 ","$39,228","$39,817","$41,037 ","$41,421 ","$42,795 ","$45,808","$46,565","$48,087 ","$48,111 ","$48,796","$49,204","$49,507","$50,286","$51,661 ","$51,287 ","$51,752","$51,731","$51,588","$51,355","$51,817","$52,747","$53,201","$57,217"
471,OWEN ,"$23,121 ","$25,527 ","$27,574 ","$29,997 ","$31,819 ","$31,509 ","$31,786 ","$32,459 ","$32,443 ","$34,150 ","$34,542 ","$36,154 ","$37,948 ","$39,273","$40,291","$41,616 ","$42,621 ","$42,855 ","$46,664","$47,631","$48,544 ","$48,476 ","$47,662","$47,262","$47,296","$47,284","$46,803 ","$46,366 ","$46,300","$46,032","$46,839","$47,239","$49,283","$49,911","$50,121","$51,486"
472,OWENSBORO,"$28,359 ","$30,472 ","$31,795 ","$31,254 ","$31,618 ","$32,372 ","$32,012 ","$33,834 ","$33,768 ","$33,999 ","$34,467 ","$35,558 ","$36,809 ","$40,381","$40,629","$42,112 ","$43,202 ","$43,942 ","$47,928","$48,536","$48,865 ","$48,149 ","$47,992","$48,531","$48,582","$49,739","$50,547 ","$51,520 ","$52,159","$52,957","$53,668","$54,618","$54,764","$56,296","$57,867","$60,428"
475,OWSLEY ,"$25,949 ","$29,946 ","$31,427 ","$31,168 ","$31,512 ","$34,272 ","$33,643 ","$34,407 ","$34,311 ","$35,106 ","$34,820 ","$35,330 ","$36,466 ","$38,341","$40,216","$41,604 ","$40,558 ","$42,411 ","$45,594","$46,674","$47,130 ","$46,877 ","$47,143","$48,032","$49,014","$49,602","$51,775 ","$51,272 ","$49,945","$49,966","$49,776","$50,656","$53,560","$54,609","$53,218","$52,938"
476,PADUCAH,"$27,992 ","$30,744 ","$31,970 ","$32,354 ","$32,825 ","$32,374 ","$34,779 ","$35,227 ","$36,469 ","$37,386 ","$37,708 ","$39,509 ","$40,459 ","$41,295","$42,123","$43,281 ","$44,579 ","$45,293 ","$48,680","$49,303","$49,972 ","$50,053 ","$50,125","$50,307","$51,111","$52,461","$52,695 ","$53,127 ","$53,488","$53,388","$53,671","$53,625","$55,378","$57,140","$59,127","$61,086"
477,PAINTSVILLE,"$26,368 ","$29,143 ","$30,427 ","$31,015 ","$31,572 ","$32,082 ","$31,557 ","$32,463 ","$32,439 ","$34,320 ","$35,488 ","$36,367 ","$37,957 ","$38,660","$38,779","$38,746 ","$40,907 ","$42,767 ","$47,722","$47,928","$48,990 ","$47,477 ","$47,778","$48,706","$48,864","$50,577","$51,902 ","$51,649 ","$52,714","$52,974","$53,192","$55,444","$55,562","$54,586","$55,286","$56,078"
478,PARIS,"$24,559 ","$27,975 ","$29,223 ","$29,637 ","$31,021 ","$32,075 ","$33,119 ","$34,027 ","$33,634 ","$34,758 ","$34,298 ","$34,757 ","$35,192 ","$34,173","$34,173","$36,446 ","$37,529 ","$38,968 ","$42,777","$43,362","$44,345 ","$43,281 ","$42,741","$42,229","$42,122","$42,011","$43,841 ","$44,643 ","$45,370","$45,436","$44,844","$45,612","$45,982","$48,817","$51,405","$52,062"
481,PENDLETON ,"$23,978 ","$27,223 ","$28,838 ","$30,016 ","$30,724 ","$32,263 ","$32,307 ","$33,817 ","$33,766 ","$34,113 ","$34,543 ","$35,176 ","$35,346 ","$36,700","$38,232","$39,593 ","$40,607 ","$41,074 ","$44,840","$46,153","$46,663 ","$45,851 ","$47,491","$47,575","$48,838","$47,670","$48,535 ","$49,085 ","$49,517","$48,282","$47,552","$48,074","$46,789","$53,112","$53,767","$56,806"
485,PERRY ,"$23,479 ","$26,819 ","$30,084 ","$30,680 ","$30,761 ","$31,075 ","$31,989 ","$33,216 ","$33,308 ","$34,703 ","$35,937 ","$36,744 ","$37,685 ","$38,915","$41,017","$42,276 ","$43,506 ","$44,777 ","$49,083","$49,456","$50,337 ","$50,359 ","$49,921","$50,305","$49,913","$50,454","$51,060 ","$49,805 ","$49,982","$49,686","$49,616","$50,339","$52,275","$53,346","$54,721","$57,403"
491,PIKE ,"$24,536 ","$29,292 ","$31,976 ","$33,096 ","$33,012 ","$33,275 ","$34,491 ","$35,779 ","$36,685 ","$36,612 ","$37,438 ","$38,178 ","$39,114 ","$40,374","$41,039","$42,488 ","$43,709 ","$44,778 ","$49,261","$50,198","$51,160 ","$50,868 ","$51,078","$51,217","$51,006","$51,498","$52,878 ","$52,509 ","$52,731","$52,106","$51,974","$52,230","$51,952","$53,438","$53,094","$55,122"
492,PIKEVILLE,"$27,617 ","$30,602 ","$33,181 ","$34,872 ","$36,410 ","$37,650 ","$38,107 ","$39,239 ","$38,867 ","$39,599 ","$40,450 ","$41,665 ","$43,068 ","$44,082","$46,454","$48,099 ","$49,645 ","$51,057 ","$55,255","$54,623","$55,276 ","$54,277 ","$55,485","$55,610","$55,553","$56,397","$58,131 ","$58,400 ","$58,179","$57,361","$58,555","$58,903","$59,639","$62,159","$62,462","$66,515"
493,PINEVILLE,"$25,090 ","$28,776 ","$30,273 ","$31,385 ","$30,429 ","$31,588 ","$30,668 ","$32,352 ","$32,117 ","$34,599 ","$35,406 ","$36,415 ","$38,061 ","$40,360","$41,673","$42,908 ","$41,092 ","$40,804 ","$45,044","$45,214","$45,266 ","$46,336 ","$46,821","$47,235","$47,235","$49,027","$44,629 ","$45,345 ","$42,788","$43,407","$45,120","$47,712","$50,279","$51,566","$51,699","$53,603"
495,POWELL ,"$24,537 ","$26,300 ","$29,098 ","$29,442 ","$29,669 ","$30,404 ","$31,165 ","$31,866 ","$32,478 ","$32,711 ","$33,621 ","$34,774 ","$35,802 ","$37,069","$37,924","$39,119 ","$40,484 ","$40,886 ","$44,801","$46,167","$46,602 ","$46,233 ","$46,133","$46,262","$46,215","$45,919","$47,751 ","$47,959 ","$46,994","$47,312","$47,170","$47,806","$46,771","$48,416","$50,868","$52,108"
496,PROVIDENCE,"$24,687 ","$26,423 ","$27,629 ","$28,314 ","$29,240 ","$29,492 ","$29,642 ","$30,741 ","$30,119 ","$33,033 ","$33,627 ","$33,307 ","$35,257 ","$35,171","$34,457","$36,560 ","$36,902 ","$37,325 ", ,,,,,,,,,,,,,,,,,
501,PULASKI ,"$24,447 ","$27,001 ","$29,287 ","$29,046 ","$30,146 ","$30,955 ","$31,076 ","$32,217 ","$32,725 ","$32,797 ","$34,034 ","$35,098 ","$35,891 ","$37,240","$38,783","$39,520 ","$41,089 ","$41,462 ","$44,770","$45,634","$46,708 ","$46,364 ","$46,770","$47,164","$47,141","$47,675","$48,778 ","$49,264 ","$49,511","$49,607","$49,703","$49,854","$49,763","$50,077","$51,254","$53,748"
502,RACELAND,"$27,634 ","$29,996 ","$32,013 ","$31,484 ","$31,542 ","$31,454 ","$32,419 ","$33,087 ","$33,625 ","$34,543 ","$35,020 ","$36,275 ","$37,371 ","$38,505","$39,801","$41,393 ","$43,598 ","$44,099 ","$48,977","$50,150","$51,264 ","$49,303 ","$50,453","$50,536","$50,640","$50,012","$50,635 ","$50,839 ","$51,266","$51,222","$50,634","$50,683","$52,648","$54,842","$54,052","$56,463"
505,ROBERTSON ,"$26,316 ","$28,626 ","$28,241 ","$28,361 ","$28,997 ","$30,864 ","$31,460 ","$31,916 ","$30,623 ","$30,969 ","$32,087 ","$32,932 ","$33,396 ","$34,818","$35,233","$36,236 ","$37,318 ","$39,088 ","$43,105","$44,569","$45,581 ","$44,951 ","$45,468","$45,402","$47,481","$46,017","$47,140 ","$48,703 ","$47,007","$46,315","$46,392","$46,255","$46,688","$49,576","$48,041","$49,955"
511,ROCKCASTLE ,"$24,161 ","$26,797 ","$29,514 ","$30,009 ","$30,662 ","$31,265 ","$31,742 ","$32,908 ","$33,472 ","$34,265 ","$34,691 ","$35,565 ","$37,504 ","$39,487","$40,598","$42,758 ","$43,789 ","$44,734 ","$48,750","$49,673","$50,529 ","$49,508 ","$49,452","$49,170","$48,992","$49,652","$50,561 ","$49,906 ","$50,851","$51,006","$51,062","$52,345","$53,688","$53,965","$52,431","$54,540"
515,ROWAN ,"$25,333 ","$27,784 ","$29,373 ","$29,490 ","$29,852 ","$30,341 ","$30,761 ","$31,543 ","$33,172 ","$34,059 ","$35,343 ","$36,439 ","$38,170 ","$38,346","$39,575","$40,851 ","$41,586 ","$42,710 ","$47,061","$47,100","$47,171 ","$46,630 ","$47,597","$48,371","$48,405","$49,060","$49,685 ","$49,738 ","$50,330","$50,272","$50,882","$50,889","$51,443","$51,403","$51,316","$53,364"
521,RUSSELL ,"$24,788 ","$27,371 ","$30,214 ","$29,903 ","$30,571 ","$31,203 ","$32,408 ","$32,734 ","$33,164 ","$33,758 ","$33,676 ","$34,367 ","$34,694 ","$35,755","$37,240","$39,119 ","$40,501 ","$41,804 ","$45,679","$46,954","$48,396 ","$48,189 ","$48,132","$47,782","$48,077","$48,158","$48,512 ","$49,903 ","$49,225","$49,516","$49,263","$50,332","$50,350","$52,680","$52,457","$53,946"
522,RUSSELL,"$29,310 ","$32,284 ","$34,530 ","$35,440 ","$35,052 ","$35,644 ","$36,719 ","$37,355 ","$38,085 ","$38,303 ","$39,413 ","$40,052 ","$40,821 ","$40,844","$42,040","$43,520 ","$44,815 ","$46,434 ","$50,063","$50,399","$50,988 ","$50,555 ","$50,901","$52,016","$53,202","$53,552","$55,097 ","$54,736 ","$54,504","$55,403","$55,334","$56,666","$56,074","$57,079","$58,191","$58,568"
523,RUSSELLVILLE,"$25,152 ","$28,545 ","$29,807 ","$30,106 ","$30,172 ","$31,399 ","$31,314 ","$32,779 ","$33,312 ","$33,179 ","$35,497 ","$36,933 ","$37,797 ","$38,267","$40,471","$41,141 ","$40,645 ","$40,525 ","$46,168","$44,991","$45,226 ","$44,744 ","$44,799","$43,439","$43,716","$42,658","$43,993 ","$43,455 ","$44,319","$44,898","$45,419","$43,419","$44,109","$44,812","$45,430","$48,945"
524,SCIENCE HILL,"$21,718 ","$25,527 ","$27,600 ","$27,243 ","$27,418 ","$28,983 ","$30,498 ","$30,627 ","$32,620 ","$33,686 ","$36,356 ","$36,759 ","$37,732 ","$39,141","$40,874","$43,112 ","$44,469 ","$45,076 ","$50,068","$50,981","$51,719 ","$48,521 ","$48,965","$50,525","$50,069","$49,470","$53,488 ","$52,579 ","$53,501","$52,705","$53,189","$51,939","$52,107","$51,898","$54,564","$53,469"
525,STT ,"$25,330 ","$28,241 ","$29,825 ","$30,079 ","$31,327 ","$32,210 ","$32,689 ","$33,260 ","$34,028 ","$34,883 ","$35,920 ","$37,214 ","$38,190 ","$39,756","$40,876","$42,568 ","$43,832 ","$44,757 ","$48,242","$48,846","$50,120 ","$49,187 ","$49,696","$49,298","$49,802","$50,228","$50,877 ","$50,822 ","$51,401","$51,748","$51,430","$53,713","$53,391","$53,764","$54,861","$60,206"
531,SHELBY ,"$25,165 ","$27,910 ","$30,193 ","$31,000 ","$31,760 ","$32,653 ","$33,539 ","$34,713 ","$34,967 ","$35,633 ","$36,982 ","$38,531 ","$40,465 ","$40,789","$42,214","$43,543 ","$44,176 ","$44,947 ","$48,369","$49,612","$48,594 ","$47,997 ","$48,737","$48,426","$49,841","$50,233","$51,678 ","$51,568 ","$50,995","$52,175","$51,328","$51,672","$50,984","$53,229","$54,930","$57,491"
533,SILVER GROVE,"$24,035 ","$24,868 ","$25,932 ","$26,932 ","$27,830 ","$28,431 ","$28,753 ","$29,809 ","$29,218 ","$29,736 ","$30,945 ","$30,421 ","$31,825 ","$34,383","$35,572","$37,481 ","$40,060 ","$40,913 ","$42,932","$43,330","$43,933 ","$44,552 ","$44,915","$45,437","$45,830","$48,429","$47,661 ","$47,208 ","$46,556","$45,670",,,,,,
535,SIMPSON ,"$25,487 ","$27,959 ","$30,257 ","$30,599 ","$31,085 ","$30,624 ","$31,733 ","$32,452 ","$33,161 ","$33,942 ","$34,412 ","$35,309 ","$36,129 ","$37,141","$37,914","$38,981 ","$40,373 ","$40,228 ","$44,020","$44,041","$45,285 ","$45,010 ","$45,916","$46,211","$46,818","$47,708","$48,398 ","$48,321 ","$49,026","$50,004","$50,782","$51,516","$53,016","$54,704","$56,919","$60,341"
536,SOMERSET,"$25,541 ","$28,668 ","$30,401 ","$30,522 ","$31,167 ","$32,562 ","$33,031 ","$34,643 ","$35,307 ","$36,617 ","$35,994 ","$37,118 ","$37,804 ","$38,903","$40,130","$42,823 ","$43,854 ","$44,866 ","$48,821","$49,936","$50,957 ","$49,599 ","$49,454","$49,150","$49,878","$49,716","$49,466 ","$50,257 ","$51,536","$51,604","$52,812","$54,037","$54,427","$56,061","$55,728","$57,258"
537,SOUTHGATE,"$25,036 ","$25,656 ","$27,882 ","$29,089 ","$30,571 ","$28,754 ","$29,513 ","$29,217 ","$29,162 ","$30,599 ","$30,264 ","$29,839 ","$31,086 ","$31,315","$33,633","$34,325 ","$36,064 ","$39,202 ","$42,022","$43,321","$41,880 ","$42,135 ","$44,144","$46,356","$46,858","$45,278","$45,465 ","$48,788 ","$49,347","$51,324","$49,053","$49,394","$46,981","$48,049","$48,631","$46,797"
541,SPENCER ,"$24,997 ","$27,834 ","$30,177 ","$30,655 ","$32,129 ","$32,355 ","$33,345 ","$34,499 ","$34,874 ","$36,114 ","$36,262 ","$37,599 ","$37,885 ","$39,288","$40,953","$41,259 ","$41,090 ","$41,744 ","$45,001","$46,924","$48,602 ","$49,038 ","$49,159","$48,820","$49,041","$50,009","$51,479 ","$52,167 ","$53,064","$53,895","$54,569","$55,233","$54,992","$57,030","$58,457","$61,083"
545,TAYLOR ,"$25,388 ","$27,695 ","$28,655 ","$28,140 ","$29,221 ","$29,774 ","$30,053 ","$31,067 ","$31,900 ","$32,724 ","$33,862 ","$35,371 ","$36,743 ","$37,476","$39,152","$40,886 ","$42,869 ","$44,083 ","$47,732","$48,456","$49,690 ","$48,655 ","$49,007","$48,929","$49,224","$49,787","$50,933 ","$51,412 ","$50,532","$50,296","$50,557","$52,085","$51,456","$51,192","$52,397","$57,693"
551,TODD ,"$24,912 ","$27,142 ","$28,180 ","$27,852 ","$28,346 ","$29,556 ","$30,183 ","$30,485 ","$30,780 ","$32,226 ","$33,154 ","$34,452 ","$35,714 ","$36,611","$38,137","$39,084 ","$40,755 ","$41,049 ","$44,460","$45,391","$45,516 ","$45,785 ","$45,471","$45,517","$45,601","$46,098","$47,126 ","$46,353 ","$46,918","$46,852","$46,931","$46,611","$47,753","$48,753","$48,850","$49,281"
555,TRIGG ,"$26,651 ","$29,197 ","$30,634 ","$30,221 ","$31,157 ","$29,771 ","$32,274 ","$33,199 ","$33,595 ","$34,518 ","$34,657 ","$36,066 ","$36,174 ","$37,277","$38,351","$38,373 ","$39,808 ","$41,336 ","$44,585","$45,768","$46,329 ","$45,896 ","$46,215","$46,790","$47,524","$48,451","$49,479 ","$49,789 ","$50,851","$51,499","$53,061","$53,536","$52,656","$53,341","$52,937","$55,949"
561,TRIMBLE ,"$24,011 ","$26,645 ","$28,367 ","$30,040 ","$30,718 ","$31,816 ","$32,937 ","$33,243 ","$33,548 ","$34,932 ","$36,362 ","$37,595 ","$38,119 ","$39,687","$40,228","$41,530 ","$43,152 ","$43,652 ","$46,565","$46,688","$47,873 ","$46,379 ","$46,988","$47,463","$47,670","$49,180","$49,842 ","$51,328 ","$51,083","$51,220","$50,426","$49,946","$50,359","$51,842","$50,318","$52,465"
565,UNION ,"$26,622 ","$29,646 ","$30,887 ","$31,653 ","$31,851 ","$32,928 ","$32,755 ","$33,850 ","$33,322 ","$34,537 ","$35,051 ","$36,961 ","$37,991 ","$38,619","$39,909","$40,742 ","$40,950 ","$41,663 ","$44,829","$44,633","$42,732 ","$41,031 ","$41,262","$42,268","$42,703","$43,643","$45,655 ","$45,761 ","$46,406","$46,310","$47,192","$48,575","$49,833","$50,223","$51,289","$54,031"
567,WALTON VERONA,"$26,881 ","$29,694 ","$31,133 ","$31,873 ","$32,924 ","$34,283 ","$35,430 ","$35,058 ","$35,390 ","$36,734 ","$37,870 ","$38,952 ","$40,428 ","$42,750","$43,428","$43,835 ","$45,722 ","$46,396 ","$49,411","$49,247","$50,151 ","$48,302 ","$48,522","$48,858","$49,774","$49,658","$50,397 ","$51,021 ","$51,196","$51,658","$52,850","$53,748","$56,327","$56,798","$57,812","$58,597"
571,WARREN ,"$24,836 ","$27,271 ","$29,321 ","$29,359 ","$29,971 ","$31,038 ","$31,797 ","$32,657 ","$33,654 ","$34,138 ","$34,953 ","$35,680 ","$36,812 ","$37,660","$39,120","$39,914 ","$41,341 ","$41,964 ","$45,275","$45,494","$46,199 ","$45,348 ","$45,486","$45,792","$46,282","$46,738","$47,543 ","$47,685 ","$48,744","$49,891","$49,990","$50,559","$51,460","$53,012","$55,486","$59,379"
575,WASHINGTON ,"$25,542 ","$29,548 ","$30,636 ","$31,221 ","$32,058 ","$32,522 ","$32,767 ","$33,386 ","$34,155 ","$34,666 ","$34,715 ","$35,374 ","$36,735 ","$37,597","$39,813","$39,524 ","$41,353 ","$42,445 ","$44,917","$45,022","$46,285 ","$47,041 ","$47,415","$47,881","$48,161","$48,240","$48,939 ","$48,269 ","$50,752","$51,929","$52,720","$52,913","$53,958","$58,131","$57,916","$62,868"
581,WAYNE ,"$24,916 ","$27,100 ","$29,521 ","$30,108 ","$30,409 ","$30,880 ","$32,230 ","$32,498 ","$33,191 ","$34,123 ","$34,692 ","$35,283 ","$36,708 ","$38,003","$39,789","$40,872 ","$42,685 ","$43,817 ","$46,989","$47,969","$49,096 ","$48,307 ","$47,917","$49,031","$48,127","$48,907","$50,229 ","$50,351 ","$50,252","$49,618","$49,848","$50,482","$49,398","$49,325","$50,012","$51,424"
585,WEBSTER ,"$25,641 ","$28,546 ","$29,580 ","$29,722 ","$29,956 ","$30,480 ","$31,001 ","$32,478 ","$33,900 ","$34,312 ","$34,462 ","$35,330 ","$35,462 ","$36,730","$36,587","$37,796 ","$38,676 ","$39,759 ","$42,137","$42,741","$43,592 ","$43,457 ","$44,014","$44,077","$44,008","$44,704","$45,641 ","$45,339 ","$45,804","$45,778","$45,496","$46,912","$46,592","$47,492","$48,706","$51,318"
