AVERAGE CLASSROOM TEACHER SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90 THROUGH 2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist No,District name,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02, 2002-03 , 2003-04 ,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
065,BRECKINRIDGE ,"$25,732 ","$28,017 ","$30,207 ","$30,447 ","$31,827 ","$32,265 ","$33,191 ","$34,067 ","$34,170 ","$35,642 ","$36,673 ","$37,994 ","$38,793 ","$39,408","$40,894","$42,030 ","$42,932 ","$43,492 ","$46,593","$46,999","$46,850 ","$45,683 ","$46,386","$46,686","$47,294","$48,314","$49,752 ","$50,600 ","$51,503","$50,987","$51,853","$52,664","$52,352","$55,548","$54,972","$55,926"
071,BULLITT ,"$25,783 ","$28,649 ","$29,955 ","$30,007 ","$31,504 ","$34,529 ","$34,556 ","$35,679 ","$35,434 ","$38,504 ","$39,586 ","$40,178 ","$40,849 ","$41,583","$43,149","$44,608 ","$45,161 ","$45,768 ","$49,656","$49,955","$50,494 ","$49,843 ","$49,954","$49,896","$50,414","$51,707","$52,446 ","$53,115 ","$54,428","$54,721","$55,031","$56,808","$58,140","$59,909","$61,010","$64,554"
072,BURGIN,"$24,439 ","$26,727 ","$28,739 ","$29,292 ","$28,827 ","$28,536 ","$28,323 ","$29,333 ","$29,562 ","$28,448 ","$28,982 ","$29,000 ","$29,071 ","$30,494","$31,313","$32,526 ","$33,590 ","$36,066 ","$40,921","$41,227","$41,767 ","$42,737 ","$43,395","$43,915","$44,390","$43,711","$44,891 ","$45,248 ","$46,554","$46,601","$47,140","$49,402","$50,201","$52,437","$53,387","$53,459"
075,BUTLER ,"$23,868 ","$27,699 ","$28,877 ","$29,149 ","$29,287 ","$30,488 ","$31,037 ","$32,033 ","$33,345 ","$34,480 ","$35,549 ","$37,044 ","$37,875 ","$39,253","$41,181","$42,227 ","$43,313 ","$44,211 ","$47,082","$47,885","$48,652 ","$47,606 ","$47,937","$48,252","$47,738","$48,156","$48,738 ","$47,751 ","$48,439","$48,070","$48,991","$48,937","$48,480","$51,403","$53,606","$55,193"
081,CALDWELL ,"$25,941 ","$28,311 ","$29,960 ","$29,856 ","$30,577 ","$30,166 ","$30,126 ","$31,075 ","$31,438 ","$33,083 ","$34,580 ","$35,869 ","$37,252 ","$37,891","$39,366","$40,537 ","$41,614 ","$42,684 ","$46,264","$46,257","$47,148 ","$46,382 ","$46,222","$46,380","$46,722","$46,451","$47,177 ","$47,241 ","$47,624","$48,439","$49,107","$50,550","$50,528","$51,855","$52,883","$54,057"
085,CALLOWAY ,"$25,843 ","$28,981 ","$30,556 ","$30,998 ","$31,512 ","$32,292 ","$33,236 ","$33,765 ","$35,180 ","$36,018 ","$36,823 ","$37,633 ","$39,092 ","$39,923","$40,807","$41,868 ","$42,746 ","$43,482 ","$46,700","$47,988","$48,625 ","$48,270 ","$47,900","$48,293","$49,625","$51,028","$52,205 ","$51,890 ","$52,248","$52,361","$53,532","$55,133","$54,919","$55,861","$56,724","$58,971"
091,CAMPBELL ,"$26,782 ","$29,289 ","$30,871 ","$31,013 ","$31,105 ","$31,779 ","$32,081 ","$32,370 ","$31,857 ","$32,744 ","$33,861 ","$35,067 ","$35,464 ","$36,741","$37,465","$39,152 ","$40,736 ","$43,104 ","$46,409","$47,026","$47,412 ","$47,265 ","$47,853","$48,383","$49,318","$49,830","$50,919 ","$50,657 ","$52,177","$53,187","$54,325","$54,725","$55,529","$56,117","$59,083","$61,435"
092,CAMPBELLSVILLE,"$24,523 ","$26,959 ","$29,015 ","$29,150 ","$29,633 ","$30,672 ","$31,001 ","$32,724 ","$33,894 ","$34,165 ","$34,567 ","$35,229 ","$37,159 ","$37,515","$38,178","$39,194 ","$40,299 ","$41,759 ","$45,424","$46,610","$47,592 ","$45,466 ","$46,350","$46,893","$45,944","$47,364","$48,680 ","$49,156 ","$50,374","$50,342","$50,123","$51,613","$51,630","$52,126","$53,192","$55,961"
095,CARLISLE ,"$25,699 ","$28,354 ","$29,266 ","$28,718 ","$29,161 ","$28,942 ","$30,810 ","$31,962 ","$32,372 ","$33,635 ","$33,863 ","$34,933 ","$36,082 ","$36,363","$36,636","$37,668 ","$37,785 ","$37,956 ","$42,055","$41,779","$42,131 ","$42,030 ","$41,920","$41,813","$42,291","$42,908","$44,424 ","$45,052 ","$46,067","$46,402","$46,314","$47,761","$48,262","$48,966","$50,318","$50,579"
101,CARROLL ,"$26,329 ","$30,095 ","$31,367 ","$32,470 ","$32,932 ","$33,028 ","$34,039 ","$34,502 ","$35,460 ","$35,523 ","$36,395 ","$37,832 ","$39,646 ","$41,560","$41,223","$42,952 ","$43,525 ","$45,087 ","$48,204","$47,185","$47,024 ","$46,019 ","$46,455","$47,025","$47,038","$47,940","$48,260 ","$48,429 ","$47,835","$49,139","$50,311","$51,782","$52,085","$52,569","$55,062","$58,988"
